 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80
time                 
1954.665753425 3.120507217 3.120507217 2.588329032 2.042991365 1.948191622 1.132968985 2.701346671 0.723121578 1.283484527 1.531550147 1.833472561 3.502772727 3.164252877 9.000810269 4.868543825 5.715087321 21.162520143
1954.747945205 3.122858978 3.122858978 2.589449802 2.043866810 1.949386088 1.133636433 2.701645976 0.723672479 1.284255225 1.532611841 1.835308564 3.506574935 3.175526626 9.006897915 4.879614822 5.729086110 21.192967389
1954.832876712 3.125446855 3.125446855 2.590684137 2.044831364 1.950700658 1.134371608 2.701973869 0.724280609 1.285099553 1.533768614 1.837302858 3.510703543 3.187769256 9.013510162 4.891648807 5.744193387 21.226011388
1954.915068493 3.128051866 3.128051866 2.591927615 2.045803169 1.952023520 1.135112188 2.702301509 0.724894373 1.285944204 1.534916963 1.839284177 3.514775025 3.200296061 9.020005887 4.903136115 5.760603364 21.264105966
1955.000000000 3.130771011 3.130771011 2.593226816 2.046820917 1.953405284 1.135886417 2.702642496 0.725540190 1.286818329 1.536087218 1.841296639 3.518916152 3.211775091 9.026641696 4.915580465 5.774857202 21.290302889
1955.084931507 3.133387668 3.133387668 2.594480445 2.047802843 1.954734231 1.136633304 2.702963519 0.726164802 1.287645942 1.537175797 1.843153537 3.522698043 3.223663044 9.032643901 4.925849658 5.790657944 21.329502330
1955.161643836 3.135542953 3.135542953 2.595515595 2.048616930 1.955830012 1.137250515 2.703224590 0.726686972 1.288313328 1.538020588 1.844590631 3.525591794 3.231448497 9.037255663 4.934483572 5.801471920 21.347177547
1955.246575342 3.137612946 3.137612946 2.596513920 2.049404012 1.956882244 1.137845966 2.703467386 0.727195649 1.288934255 1.538769942 1.845844300 3.528075601 3.238470855 9.041176475 4.941367057 5.811413291 21.367206590
1955.328767123 3.139175950 3.139175950 2.597273767 2.050006521 1.957677318 1.138299555 2.703640316 0.727591037 1.289374745 1.539244754 1.846612162 3.529524549 3.242414820 9.043424255 4.945118059 5.818022301 21.379446325
1955.413698630 3.140200390 3.140200390 2.597781136 2.050415567 1.958200251 1.138603284 2.703738748 0.727870080 1.289618408 1.539405905 1.846830732 3.529787819 3.241679634 9.043782492 4.946105520 5.819805773 21.371256329
1955.495890411 3.140470454 3.140470454 2.597931508 2.050546581 1.958338105 1.138694592 2.703733394 0.727976938 1.289597911 1.539178867 1.846353589 3.528599194 3.238156574 9.041744309 4.941376079 5.816792645 21.367925025
1955.580821918 3.139708490 3.139708490 2.597596643 2.050303175 1.957955425 1.138497481 2.703590343 0.727855642 1.289215960 1.538403326 1.844921920 3.525360910 3.226362485 9.036480467 4.932373019 5.806418499 21.325746495
1955.665753425 3.137912638 3.137912638 2.596770160 2.049677504 1.957044918 1.138008335 2.703308755 0.727498859 1.288477722 1.537108939 1.842574868 3.520218385 3.210196125 9.028076262 4.916311140 5.788752903 21.283214287
1955.747945205 3.135089315 3.135089315 2.595456600 2.048672337 1.955614190 1.137229398 2.702894998 0.726907240 1.287397289 1.535332288 1.839388510 3.513312216 3.188080935 9.016895537 4.895888027 5.764937971 21.217764370
1955.832876712 3.130973481 3.130973481 2.593528972 2.047189604 1.953526932 1.136085668 2.702313205 0.726022221 1.285881273 1.532932592 1.835117425 3.504136507 3.158949657 9.002060142 4.868879084 5.732733552 21.131824561
1955.915068493 3.125771245 3.125771245 2.591080533 2.045299790 1.950885432 1.134632692 2.701594663 0.724884941 1.284012671 1.530080705 1.830211700 3.494041114 3.129545946 8.985829533 4.838917329 5.694315731 21.054228790
1956.000000000 3.119027072 3.119027072 2.587900486 2.042837732 1.947464203 1.132744361 2.700682144 0.723393722 1.281643071 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.084931507 3.111360244 3.111360244 2.584021534 2.039711044 1.943551357 1.130413534 2.700102789 0.721492474 1.280247586 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.161643836 3.110000000 3.110000000 2.583333333 2.039119609 1.942857143 1.130000000 2.700000000 0.720883386 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.413698630 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.495890411 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.580821918 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.665753425 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.832876712 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1956.915068493 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.084931507 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.161643836 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.413698630 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.495890411 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.580821918 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.665753425 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.832876712 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1957.915068493 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1958.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1958.084931507 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1958.161643836 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1958.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000000000
1958.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.088685891
1958.413698630 3.124441455 3.124441455 2.589460228 2.043339967 1.950170754 1.133475198 2.703148354 0.721725878 1.288635841 1.545730010 1.860932639 3.567180026 3.391337808 9.107770391 5.069755155 5.910714279 22.118674043
1958.495890411 3.211090184 3.211090184 2.626221597 2.068799123 1.994052418 1.154326387 2.722038475 0.727795431 1.340450889 1.660110068 2.076528473 4.060260182 5.079364657 9.921829538 6.588286083 7.474999952 26.980984007
1958.580821918 3.616447259 3.616447259 2.818438491 2.218173046 2.199911991 1.268543568 2.775341886 0.819555992 1.478497155 1.859831227 2.426002290 4.794292246 7.312596252 11.101973355 8.733791185 10.153447667 33.335760527
1958.665753425 4.121609332 4.121609332 3.058434610 2.404997881 2.456478078 1.411239507 2.840989791 0.935162902 1.648226171 2.101324295 2.846977304 5.674274397 9.969884015 12.514584777 11.297652209 13.388977375 40.892805806
1958.747945205 4.696411548 4.696411548 3.331729613 2.617888040 2.748428637 1.573766531 2.915319391 1.067272676 1.840295945 2.372681310 3.319284336 6.659681266 12.937036971 14.095437406 14.164959777 17.023366943 49.311716352
